prompt,prompt_len,target
Filippo Tesauro,5,1
Luigi Boccherini,5,1
Adelaide of Habsburg,5,0
Coloman of Hungary,5,1
Seleucus of Seleucia,7,1
Pierre d'Orgemont,7,1
Johann Schiltberger,5,1
"John V, Prince of Anhalt-Zerbst",11,1
Clara Immerwahr,5,0
Blanche of Anjou,6,0
Mother Shipton,4,0
Eustochia Smeralda Calafato,10,0
"Joanna, Duchess of Durazzo",7,0
Walter Ulbricht,4,1
Princess Marie Victoire d'Arenberg,9,0
Maureen Connolly,3,0
Edmund Heines,4,1
Basilius Amerbach,5,1
Caroline von Wolzogen,5,0
Aisha Al-Manoubya,9,0
Boniface III,4,1
Johann Georg Kohl,4,1
Anton von Wietersheim,7,1
Adelaide of Susa,5,0
Elisabeth Dorothea of Saxe-Gotha-Altenburg,12,0
Friedrich III. von Ortenburg,7,1
"Joanna, wife of Chuza",7,0
Duchess Amalie in Bavaria,7,0
Jakob Friedrich Ehrhart,5,1
Sun Chuo,4,1
Todor Zhivkov,6,1
"Elizabeth de Burghersh, 3rd Baroness Burghersh",14,0
Henry IV of Sponheim,6,1
Georges Seurat,4,1
Jan III van Arkel,6,1
Princess Karoline Amalie of Hesse-Kassel,11,0
Pierre Louis Dumesnil,6,1
Diarmait Mac Murchada,7,1
Lope Díaz III de Haro,8,1
Empress Wang,4,0
Princess Marie of Battenberg,6,0
Werner Rolevinck,5,1
Hilal al-Sabi',8,1
Hawise of Brittany,5,0
"Margaret de Newburg, 7th Countess of Warwick",12,0
Catherine of the Palatinate,7,0
Fausto Sozzini,5,1
"Marie of Valois, Duchess of Bar",9,0
Margaret of Austria,4,0
"Reginar III, Count of Hainaut",10,1
Ermentrude of Roucy,7,0
Heinrich Lissauer,4,1
"Honoré II, Prince of Monaco",8,1
Konstantinos Meliteniotes,8,1
Empress Dowager Wang,6,0
Abd Allah ibn Hanzala,7,1
Micheletto Attendolo,7,1
"Marie of Prussia, Margravine of Brandenburg-Bayreuth",13,0
Sophie Marie of Hesse-Darmstadt,8,0
Nico,2,0
Immilla of Turin,5,0
Irene Palaiologina,5,0
Lady Zhang,3,0
Blanca de La Cerda y Lara,9,0
Francesco Crasso,4,1
Lady Zhen,3,0
James II of Cyprus,5,1
Galina Ulanova,6,0
Samuel Molyneux,4,1
Saint Rosalia,4,0
Gustav Teichmüller,4,1
Countess Maria of Nassau,6,0
Jan Kochanowski,5,1
Oswald Croll,5,1
Berengaria of León,6,0
Mary of Avesnes,5,0
Gervase de Cornhill,7,1
Philippa of Luxembourg,5,0
Anna Ovena Hoyer,6,0
"Robert V, Count of Dreux",8,1
Agnes of Habsburg,5,0
Wolfgang von Graben,5,1
Anne of Burgundy,4,0
Emperor Jianwen of Liang,6,1
"Magdalena of Brandenburg, Countess of Hohenzollern",10,0
Meret Oppenheim,5,0
Yolande of Aragon,6,0
"Bogislaw II, Duke of Pomerania",10,1
"Sophie Dawes, Baronne de Feuchères",10,0
Adela of Flanders,5,0
Johann Joachim Lange,4,1
Ascelina,4,0
Anne de Pisseleu d'Heilly,10,0
Zhang Shicheng,5,1
Willa of Tuscany,5,0
Anne Greene,3,0
"Adolf, Count Palatine of the Rhine",8,1
Friedrich Koenig,3,1
Anna of Hungary,4,0
Abd al-Rahman Ben Saadallah Azji,11,1
Emile Berliner,3,1
Johann II. zu Putlitz,7,1
Gunhild of Wessex,6,0
Karl Joseph Simrock,5,1
Susanna Margarete of Anhalt-Dessau,11,0
Maria Wilhelmina von Neipperg,8,0
Countess Charlotte Flandrina of Nassau,8,0
"Eleanor of Naples, Duchess of Ferrara",8,0
Sima Wang,4,1
Annabelle Lee,4,0
Friedrich I. von Truhendingen,8,1
Princess Louise of Savoy,5,0
Amalia Wilhelmina Königsmarck,7,0
"Matilda FitzRoy, Countess of Perche",10,0
Kong Wei,3,1
Zhou Ang,3,1
Christian August Friedrich Peters,5,1
Blanche de Bouville,6,0
John of Damascus,4,1
Nikolaus Pevsner,6,1
Marie-Guillemine Benoist,8,0
Christina von Stommeln,6,0
Jan de Beijer,5,1
Anne Bacon,3,0
"Margaret de Quincy, Countess of Lincoln",8,0
Anna Louise Föhse,6,0
Sophie Christiane of Wolfstein,6,0
Butch van Breda Kolff,6,1
Sten Bengtsson,4,1
Empress Yan Ji,5,0
Maria of Borovsk,5,0
Wang Dun,3,1
Marie of Brandenburg-Kulmbach,8,0
"Marie of Brittany, Viscountess of Rohan",9,0
Johanna Magdalena of Saxe-Altenburg,9,0
Muhammad Ali,3,1
Johannes de Sacrobosco,7,1
Laura Margherita Mazzarini,6,0
Gustav Quentell,5,1
Georg Goltermann,5,1
Wilhelm von Boldensele,6,1
Lavinia Fontana,5,0
María Díaz de Haro,6,0
Marjorie de Castille,6,0
Anna of Oldenburg,4,0
Gerberge of Lorraine,5,0
Luise Mühlbach,5,0
Louise Nevelson,5,0
Karl Hoffmann,3,1
Bohemond V of Antioch,7,1
Benjamin Schmolck,5,1
"Ermesinde, Countess of Luxembourg",7,0
Beatrice Visconti,3,0
Olympe de Gouges,7,0
Zaynab bint Jahsh,7,0
Olav Magnusson of Norway,7,1
Milica Hrebeljanović,7,0
Dmitry Pozharsky,5,1
Laura Mancini,3,0
Johan Airas,4,1
Adelaide of Weimar-Orlamünde,8,0
William of Tripoli,4,1
Isabelle de Charrière,5,0
Felix of Valois,5,1
Papias of Hierapolis,7,1
Grace Hopper,3,0
Agnes of Thuringia,6,0
"Anthony Lester, Baron Lester of Herne Hill",10,1
Maria Petraliphaina,7,0
Franz Georg Karl von Metternich,8,1
Johann Eustach von Görtz,7,1
Eleanor of Castile,4,0
Octavia Victoria Rogers Albert,6,0
Joan of England,4,0
Pierre de Fécamp,5,1
Agnello of Naples,5,1
Sun Huan,3,1
Fernán Pérez de Guzmán,6,1
Joanna of Castile,4,0
Mary Fergusson,4,0
"Isabella, Countess of Vertus",7,0
Marco Vigerio della Rovere,8,1
Heinrich von Rübenach,6,1
Elizabeth of York,4,0
Mary of Lorraine,4,0
Ingeborg of Norway,6,0
"Anna of Veldenz, Countess Palatine of Simmern-Zweibrücken",17,0
Johann Friedrich Zückert,6,1
Gertrude de Nesle-Soissons,9,0
Konrad Mutian,4,1
Adolf I of Lotharingia,7,1
"Anne Conway, Viscountess Conway",7,0
Robert Stolz,3,1
Margaret Hutchinson Rousseau,4,0
Knut Jonsson,5,1
Empress Liu,4,0
Abel Huntington,3,1
François Roberday,4,1
Pierre Gassendi,4,1
Otto Bütschli,5,1
"Charlotte, Queen of Cyprus",6,0
Constance of Béarn,6,0
Ida van Leuven,4,0
Saigū no Nyōgo,8,0
Henry IX of Lubin,6,1
Leo Diogenes,4,1
Naim Frashëri,7,1
Sancha of Majorca,6,0
Jaque de Cambrai,6,1
Magdalena von Bayern,4,0
Heinrich von Volkach,5,1
Henri Raspe II,5,1
Wang Xun,3,1
Evgeni Gross,4,1
"Blanche of Navarre, Countess of Champagne",9,0
Liu Zhen,3,1
Hugh Nonant,4,1
Theobald von Bethsan,7,1
Marguerite de Sablé,6,0
Victor von Prendel,5,1
Wibrandis Rosenblatt,7,0
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",13,1
Saint Apollonia,4,0
Sigrid Svendsdatter,7,0
Otto von Mörnstein,6,1
"Ezekiel, Freiherr von Spanheim",9,1
Rembert Dodoens,5,1
Maria Carolina of Austria,5,0
Guglielmo Embriaco,7,1
Countess Emilie Juliane of Barby-Mühlingen,13,0
Diego Hurtado de Mendoza,6,1
William Blake,3,1
Maud Barger-Wallach,8,0
Sima Lang,4,1
Maria di Navarra,4,0
Tamar of Georgia,4,0
Beatrice d’Este,5,0
Ascelina,4,0
Johann Günther Friedrich Cannabich,7,1
Margaretha von der Mark,7,0
Friedrich von Boizenburg,6,1
"Blanche of France, Infanta of Castile",10,0
Sigvatr Þórðarson,8,1
Gisela von Arnim,6,0
Italo Balbo,5,1
"Juan de Borja Lanzol de Romaní, el menor",12,1
"Matilda of Brabant, Countess of Artois",10,0
Girolamo Benivieni,6,1
Lady Arabella Stuart,5,0
Sophia Hedwig of Brunswick-Lüneburg,10,0
Cosimo Tura,5,1
Louise Brough,4,0
"Elizabeth of Denmark, Electress of Brandenburg",9,0
Nicolas Roger,3,1
Caterina Cavalieri,5,0
Frederika Charlotte Riedesel,8,0
Dorothea of Bulgaria,5,0
Eleanor of Leicester,4,0
Mary Catherine of St. Augustine,7,0
William Edward Collinson,5,1
Bar Hebraeus,5,1
George VII of Georgia,5,1
Judith of Bavaria,4,0
Juliana Falconieri,5,0
"Margaret, Countess of Pembroke",6,0
Lucas Watzenrode,5,1
Mary of Modena,4,0
Martha of Denmark,4,0
Christian Wilhelm Kindleben,5,1
"Catherine Woodville, Duchess of Buckingham",8,0
Sophia Charlotte of Hanover,5,0
Giovanniccia Candiano,7,0
"Frederick II, Landgrave of Hesse-Homburg",11,1
Rosine Elisabeth Menthe,6,0
Adelaide of Waldeck,5,0
Joachim Peiper,4,1
Ernest of Bavaria,4,1
Anne Christine of Sulzbach,7,0
Isabella of Mar,4,0
Marlyn Meltzer,5,0
Marcellus,4,1
Pei Xingjian,4,1
Carole Caldwell Graebner,6,0
Marguerite de Nully,6,0
"Agnes Mortimer, Countess of Pembroke",7,0
Bridget of York,4,0
Zhu Tao,3,1
Hans Adolf Erdmann von Auerswald,9,1
Nadine Gordimer,4,0
Heinrich von Podewils,6,1
Maria of Alania,5,0
Queen Marie of Romania,5,0
Philip V of France,5,1
Isabella de Braose,5,0
Hugh de Benin,4,1
Florine of Burgundy,5,0
Elizabeth of Sicily,4,0
Gabriela Silang,4,0
"Marie of Valois, Duchess of Bar",9,0
Éléonore Desmier d'Olbreuse,11,0
Lady Zhang,3,0
Violant of Aragon,5,0
Beatus of Lungern,6,1
Susette Borkenstein Gontard,8,0
Christian Mentzel,4,1
Shizuka Gozen,5,0
Emperor Xiaoming of Northern Wei,7,1
Adelaide of Hungary,4,0
Daniel Meisner,5,1
Friedrich Dülon,5,1
Dmitry Borisovich,4,1
Marion Delorme,4,0
Margery de Burgh,5,0
Maria of Guelders,6,0
Alan Turing,3,1
Augusta of Saxe-Weimar-Eisenach,11,0
Empress Ma,4,0
Bruno III of Berg,5,1
"Otto III, Duke of Bavaria",7,1
Zou Yan,4,1
Beatrice of Brabant,4,0
Henry of Flanders,4,1
Eleanor of Castile II,5,0
Henriette Herz,4,0
Sophie of Pomerania,5,0
Märta Ulfsdotter,7,0
Hemma of Gurk,6,0
Charles August of Baden-Durlach,8,1
Irene Doukaina,5,0
Eleonor Magdalene of Neuburg,7,0
Kunigunde of Eisenberg,6,0
Anne Bradstreet,5,0
Giovanni Pietro Tencalla,6,1
Gerald of Sauve-Majeure,9,1
Ami Argand,4,1
Octavia Victoria Rogers Albert,6,0
Heinrich Andreas Contius,5,1
Wolfgang Iser,4,1
"Louisa Hamilton, Duchess of Abercorn",8,0
Clementia of Aquitaine,7,0
Beatrice d'Avesnes,6,0
Bernard Ato IV,4,1
Philo of Byzantium,5,1
"John de Beauchamp, 1st Baron Beauchamp",10,1
Agnes von Nürnberg,4,0
Conrad II Kettler,5,1
Beatriz Ponce de León y Meneses,9,0
Clara Egghart,5,0
Hafsa bint Umar,5,0
Pierre Schwinte,5,1
"Ernest, Duke of Opava",7,1
Isidore the Laborer,7,1
Gertrude of Poland,5,0
Shulü Ping,5,0
Gabrielle d'Estrées,6,0
Ludwig von Wohlgemuth,6,1
Adelheid II. von Büren,8,0
Friedrich Deys,4,1
Empress Duan,4,0
Ulrich II.,4,1
Alix of Brittany,5,0
Guillem Magret,5,1
Friedrich Franz von Braunschweig-Wolfenbüttel,9,1
"Anna of Saxony, Electress of Brandenburg",9,0
Empress Dan,4,0
Gunhild of Wessex,6,0
Sophia of Minsk,4,0
Margarete Weißkirchner,7,0
Johann Gottlieb Goldberg,4,1
Adriaan van Royen,7,1
Janis Joplin,4,0
Violante Visconti,4,0
William Edward Collinson,5,1
Guo Jia,3,1
Kaspar Glatz,5,1
John III of the Palatinate,8,1
Pang De,3,1
Prince Augustus of Prussia,5,1
Elsa Triolet,4,0
Agnes von Arnsberg,6,0
Rita of Cascia,5,0
Liu Wuzhou,5,1
Yuwen Hu,4,1
Lambert I of Nantes,5,1
Otto III,3,1
Habib d'Édesse,8,1
Alina Margolis-Edelman,7,0
Clotilde,3,0
Blanca Alfonso de Molina,6,0
Yasunari Kawabata,7,1
Isabel Bruce,3,0
Richard Mather,3,1
Helene Mayer,4,0
Mikuláš of Hus,6,1
Bianca d'Aragona,6,0
Raymond I Trencavel,6,1
William III,3,1
Henryk Grossman,4,1
Joseph Daniel Ohlmüller,5,1
Jeanne d'Évreux,7,0
"Joan Butler, Countess of Ormond",8,0
Carl Gustav Axel Harnack,6,1
Jacopo da Sellaio,7,1
"Maria of Castile, Queen of Aragon",8,0
"Gilbert, Duke of Burgundy",6,1
"Constance of France, Countess of Toulouse",9,0
Louise Élisabeth of France,6,0
Arabella Churchill,4,0
Domingo de Santo Tomás,5,1
Gunilla Bielke,5,0
Princess Mathilde of Bavaria,5,0
Louise Moillon,4,0
Amalberga of Maubeuge,8,0
Adelaide of Italy,4,0
Peter the Great,4,1
Benedetto Ghirlandaio,7,1
Bertila de Chelles,6,0
Catherine of Burgundy,4,0
"Augustus the Elder, Duke of Brunswick-Lüneburg",13,1
"Madeleine de Souvré, marquise de Sablé",12,0
Anna von Zähringen,6,0
Zhang Ruoxu,5,1
Faustina the Younger,5,0
"Louise Françoise de Bourbon, Duchess of Bourbon",9,0
Hermann Loew,3,1
Xiahou Shang,4,1
Ludwig Andreas von Khevenhüller,8,1
Antonia Bembo,5,0
"Amalie von Wallmoden, Countess of Yarmouth",11,0
Asmā' bint Abu Bakr,8,0
David Livingstone,3,1
Michael Powell,3,1
"Marie Elisabeth, Abbess of Quedlinburg",11,0
Song Ruoshen,5,0
Béatrice de Planisoles,7,0
Rudolf Erich Raspe,5,1
"Eleanor of Aragon, Queen of Cyprus",8,0
Peter von Aarberg,5,1
Leontios Machairas,6,1
Husayn Bayqarah,6,1
Hedwig of Brunswick-Wolfenbüttel,9,0
Urraca of Castile,5,0
Stefano Felis,4,1
Sophia Dorothea of Celle,5,0
Isabel of Montfort,5,0
Olga Meyer,3,0
Marie Calm,3,0
Joan I of Navarre,5,0
Gyda of Sweden,5,0
Sun Deng,3,1
Frederika Charlotte Riedesel,8,0
"Joan Holland, Duchess of Brittany",7,0
"Margaret Graham, Countess of Menteith",9,0
Lillian Moller Gilbreth,8,0
Rhys ap Gruffydd,7,1
Consort Ban,4,0
Frederick IV of Naples,5,1
Philippe Habert,4,1
Satō Tadanobu,6,1
Gertrude of Dagsburg,7,0
Joanna of Bavaria,4,0
Robert Fulton,3,1
Henry XI of Legnica,7,1
"John I Comyn, Lord of Badenoch",10,1
Martin Gouge,4,1
Juliana Maria of Brunswick-Wolfenbüttel,10,0
Henry of Castile,4,1
Pepin of Italy,5,1
Blanche of Anjou,6,0
"Matilda of England, Duchess of Saxony",9,0
Verena Holmes,4,0
"Isabella of Castile, Duchess of York",8,0
Beatrice d’Este,5,0
Oda of Metz,5,0
Barbara Manfredi,5,0
Margaret of Artois,5,0
"Henrietta Godolphin, 2nd Duchess of Marlborough",13,0
Agatha Christine of Hanau-Lichtenberg,11,0
Art Mór Mac Murchadha Caomhánach,12,1
Sophia Eleonore of Saxony,6,0
Tanya Savicheva,5,0
Abd-ar-Rahman III,7,1
Heinrich von Antwerpen,4,1
Princess Maria Christina of Saxony,6,0
Anna Maria Anguissola,6,0
Theobald of Bec,5,1
Sibylla of Lusignan,7,0
Pulcheria,3,0
Lady Katherine Grey,4,0
Karl Andree,3,1
Shirley Knight,3,0
Johann Heinrich Ulrich,4,1
Francis Knollys,4,1
Pietro Torri,4,1
Charles IV,3,1
William I of Berg,5,1
Anglesia Visconti,4,0
Ida of Saxony,4,0
Sayf al-Dawla,7,1
"Margaret of France, Duchess of Berry",8,0
"Blanche of Navarre, Countess of Champagne",9,0
Concubine Qi,5,0
Salomea of Berg,6,0
"John I, Duke of Lorraine",7,1
Vyshnevetska Ryina,8,0
Gerhard von Zezschwitz,7,1
La Jana,3,0
"Wenceslaus I, Duke of Luxembourg",9,1
"Margaret, Countess of Anjou",7,0
Julius Rietz,4,1
Caroline Schelling,4,0
Urraca Afonso of Portugal,6,0
Yang Guifei,5,0
Cristoforo Madruzzo,6,1
Johann Winter von Andernach,6,1
Hebe Camargo,4,0
Gerhard von Berg,4,1
Violant of Aragon,5,0
Otto Pfleiderer,6,1
Kunigunde of Poland,6,0
Li Congyan,4,1
Gustav Hugo,3,1
Wanli Emperor,4,1
William Camden,3,1
"Joan of Brittany, Baroness of Drayton",8,0
Saint Irmgardis,5,0
Metius,3,1
Sigmund Zois,5,1
Raffaello Vanni,6,1
Alonso Pérez de Guzmán,5,1
Georg Curtius,4,1
"Joan, Countess of Toulouse",6,0
Elena Glinskaya,5,0
Marie Antoinette,3,0
Joan of Kent,4,0
"John I, Count of Soissons",8,1
Roderic,4,1
"Robert Willoughby, 6th Baron Willoughby de Eresby",12,1
Blessed Giuliana of Collalto,7,0
María de Ágreda,6,0
Gottfried Welsch,5,1
Georg Cracow,4,1
Ulrich II. von Dapfen,7,1
Princess Eleonore Erdmuthe of Saxe-Eisenach,12,0
Jacob van Campen,5,1
"John FitzAlan, 6th Earl of Arundel",11,1
Sophia Hedwig of Brunswick-Lüneburg,10,0
Christoph von Münchhausen,5,1
Margravine Elisabeth Sophie of Brandenburg,8,0
Abraham Zacuto,4,1
Françoise Sagan,4,0
José del Campillo,5,1
Yolanda of Poland,5,0
Richard Kilvington,4,1
"Margaret of Bohemia, Duchess of Wroclaw",9,0
Anna Bon,3,0
Friedrich Wilhelm Riemer,5,1
Teresa Lubomirska,6,0
"Humphrey of Lancaster, 1st Duke of Gloucester",12,1
David IV of Georgia,5,1
Sara Copia Sullam,6,0
Mary of Chatillon,5,0
François Boucher,3,1
Bhaskar Ramchandra Tambe,7,1
Dou Dexuan,4,1
Empress Dowager Bo,6,0
Friedrich Ludwig Jahn,4,1
Stella de' Tolomei,7,0
Sima Yue,4,1
Margaret of Opava,5,0
Juan de Urtubia,7,1
Karl Friedrich Plattner,5,1
Princess Ida of Anhalt-Bernburg-Schaumburg-Hoym,15,0
Saint Giles,3,1
Francesco Redi,4,1
Albert Wigand,4,1
Empress Yuan Qigui,7,0
Leonhard Kleber,5,1
Abraham van Diepenbeeck,7,1
Empress Wang Zhengjun,6,0
Matilda of Amboise,6,0
Madeleine Des Roches,5,0
Arwa al-Sulayhi,8,0
Alvin Lee,3,1
"Otto IV, Holy Roman Emperor",7,1
Thomas Bradwardine,5,1
Volodymyrko Volodarovych,9,1
"Theobald II, Duke of Lorraine",8,1
Ralph de Warneville,5,1
Jeanne de Laval,4,0
"Elisabeth of Bavaria, Electress of Brandenburg",9,0
Johannes Trygophorus,6,1
"Henry Stafford, 2nd Duke of Buckingham",10,1
Enrico II Ventimiglia,6,1
Guo Chong,3,1
Gertrude of Saxony,5,0
Maria Haraldsdotter,6,0
Peter of Poitiers,4,1
Queen Jeongsun,4,0
Catharina Regina von Greiffenberg,8,0
"Catherine of Austria, Queen of Portugal",8,0
Joseph Ranquet,4,1
Consort Dugu,5,0
Niccolò Antonio Colantonio,7,1
Apollodorus of Athens,6,1
Ferdinand Kinsky,4,1
Maria Teresa Rafaela of Spain,7,0
Claude Deruet,4,1
David Friesenhausen,5,1
Agnes of Dampierre,5,0
Stanisław Konarski,5,1
Françoise de Dinan,6,0
Klemens,3,1
Empress Dowager Du,6,0
Archduke Maximilian Francis of Austria,7,1
Lawrence Giustiniani,5,1
Jacopo del Cassero,6,1
Charlotte Wolter,4,0
William II of Athens,5,1
Margaret of Bavaria,4,0
"Theobald I, Duke of Lorraine",8,1
John of Gaddesden,7,1
Frederick of Solms-Rödelheim,9,1
"Yolande of Aragon, Duchess of Calabria",10,0
Leonhard von Dobschütz,7,1
"Isabel de Clare, 4th Countess of Pembroke",11,0
"Elizabeth Boleyn, Countess of Wiltshire",8,0
Guilhem de Saint-Leidier,9,1
Heinrich Eberbach,4,1
Agnes of Babenberg (1205-1226),16,0
"Hedwig of France, Countess of Mons",9,0
Maura of Troyes,6,0
Stephanie of Provence,4,0
Lucienne de Rochefort,7,0
Cheng Yi,3,1
Cristóbal de Mondragón,7,1
Adelaide of Guelders,6,0
Janis Joplin,4,0
Richard d'Amory,6,1
Otto Wallach,4,1
Giuseppe Maria Crespi,5,1
Gisela of Lotharingia,7,0
Astrid Lindgren,3,0
Mikhail of Vladimir,4,1
Zhuge Zhan,4,1
Margaret of Hereford,4,0
"John Talbot, 10th Earl of Shrewsbury",11,1
Abu Dawood,4,1
Franz Georg von Schönborn,6,1
Wilhelmine Reichard,6,0
Eleanor F. Helin,6,0
Augusta Sofia de Sulzbach,8,0
Betje Wolff,4,0
Ludowika Margaretha of Zweibrücken-Bitsch,13,0
John Fryer,3,1
Anna Sibylle of Hanau-Lichtenberg,11,0
Inger Ottesdotter Rømer,9,0
Dorothea of Saxe-Lauenburg,8,0
Gaspard Bauhin,6,1
Empress Yang,4,0
Mary Macaulay,3,0
Cai Wenji,4,0
"John FitzAlan, 2nd Baron Arundel",10,1
Theresa of Portugal,4,0
Alexander I of Georgia,5,1
Roger Bertram,3,1
Luitgard,4,0
Hans-Georg von Friedeburg,7,1
Guy IV de Limoges,5,1
Emperor Yuan of Han,5,1
Arnold Mercator,4,1
Isabella of Lusignan,6,0
Felipa de Souza,6,0
"Helena, Queen of Hungary",6,0
Max Ophüls,5,1
Sumayyah bint Khayyat,7,0
Antonie van Leeuwenhoek,6,1
"George Gordon, 4th Earl of Huntly",11,1
Jacques Necker,4,1
Ahmad ibn Yusuf,4,1
Anna von Tecklenburg-Schwerin,9,0
Elisabeth Kulmann,4,0
Elio Petri,4,1
Julius von Sachs,4,1
Ada de Warenne,5,0
"Marie Elisabeth, Abbess of Quedlinburg",11,0
"Maud of Gloucester, Countess of Chester",9,0
Hilarius of Aquileia,7,1
Barbara Rütting,4,0
Pauline von Mallinckrodt,7,0
Rabia Balkhi,5,0
Marie de Gournay,5,0
Simon Lemnius,4,1
"Matilda, Countess of Rethel",8,0
Wilhelm von Nindorf,6,1
Jane Seymour,3,0
Cornelia Schlosser,5,0
Anna Margaret of Hesse-Homburg,8,0
Princess Eleonore Erdmuthe of Saxe-Eisenach,12,0
Gregory DePalma,5,1
Johann Lorenz von Mosheim,6,1
Johann Georg Lahner,5,1
Salomea of Poland,6,0
Louis Marchand,3,1
Margaret Fredkulla,5,0
Princess Alexandra of Hanover,5,0
Christoph Gottfried Andreas Giebel,6,1
Hisham I of Córdoba,6,1
Theophanu,4,0
Empress Dowager Zhang,6,0
Countess Juliane of Nassau-Dillenburg,10,0
Ferdinand of Majorca,5,1
Jeanne Dupuis,4,0
Rosa Luxemburg,3,0
Nicola Pisano,4,1
Isabelle de Meulan,5,0
Eupraxia of Kiev,6,0
"Ingeborg of Denmark, Duchess of Mecklenburg",10,0
Empress Du Lingyang,6,0
Ennemond Gaultier,6,1
Elizabeth Richeza of Poland,6,0
Anna Sophie of Saxe-Gotha-Altenburg,12,0
Marie of Artois,5,0
Eleanor Beaufort,3,0
Wojciech of Bogoria and Żminogród,11,1
Walther von Brauchitsch,7,1
"Anne of York, Duchess of Exeter",8,0
Saint Alena,4,0
Philippe II de Croÿ,6,1
Christine Charlotte of Württemberg,6,0
Violant of Bar,5,0
Agnes von Arnsberg,6,0
"Casimir III, Duke of Pomerania",9,1
Marie Eleonore of Cleves,7,0
Severinus of Sanseverino,7,1
Marilyn Monroe,3,0
Johanna van Clermont,4,0
Princess Viktoria of Prussia,6,0
Alexios I of Trebizond,8,1
Anna von Zähringen,6,0
"Herman IV, Margrave of Baden",8,1
Infante Charles of Austria,6,1
Ioannis Politis,5,1
Joachim Lemelsen,5,1
Sibylla of Lusignan,7,0
Master Paul of Levoča,7,1
Ludovica Albertoni,6,0
Kunigunde of Eisenberg,6,0
"William II, Lord of Egmond",8,1
Margaret of Limbourg,5,0
Cunizza da Romano,6,0
Philippe Pétain,4,1
Cui Bai,4,1
"Anna de' Medici, Archduchess of Austria",11,0
Caterina Assandra,5,0
Johann Georg Gmelin,5,1
Nicholas Magni,4,1
Loring Christie,4,1
Christian of Whithorn,5,1
Simonetta Vespucci,6,0
Christoph Weigel the Elder,6,1
Akamatsu Norimura,6,1
Catherine of Mecklenburg,4,0
Gilbert Stuart,3,1
Alain III de Rohan,5,1
Théodolinde de Beauharnais,9,0
Earle Meadows,4,1
Caterina Cavalieri,5,0
Peter Kürten,4,1
Robert de Crull,5,1
Fú Jiàn,5,1
Mother Shipton,4,0
Gerda Christian,4,0
Joseph de la Vega,5,1
Georg Rudolf Weckherlin,7,1
"Elizabeth of Denmark, Electress of Brandenburg",9,0
Napoleon Louis Bonaparte,4,1
Agnes of Austria,4,0
Nijō Tameyo,6,1
Marie-Anne Paulze Lavoisier,9,0
Richilde of Provence,5,0
Kaspar von Questenberg,6,1
"Christian I, Count of Oldenburg",7,1
Hildegard of Flanders,5,0
Zhuge Jin,4,1
Marie Casimire Louise de La Grange d'Arquien,13,0
"Catherine Woodville, Duchess of Buckingham",8,0
Michelina of Pesaro,6,0
Dirck van Baburen,6,1
Sun Chen,3,1
"Joan de Geneville, 2nd Baroness Geneville",12,0
Antonio Escobar y Mendoza,5,1
Heinrich Brömse,5,1
Yasujirō Ozu,7,1
Margaret of Savoy,4,0
John of Arkel,5,1
Hans Brosamer,4,1
Theodor Mommsen,5,1
Napoleon III,3,1
"Dorothea Maria of Saxe-Weimar, Duchess of Saxe-Zeitz",16,0
Isabella of Burgundy,4,0
Grace O'Malley,5,0
Sarah-Theodora,5,0
Totò,3,1
Joan of Polanen,5,0
Roberto Valturio,5,1
Benedetta of Cagliari,5,0
Princess Louise of Savoy,5,0
Princess Sophie of Bavaria,5,0
Pietro Ziani,4,1
"Stephen II, Ban of Bosnia",7,1
"Frederick II, Margrave of Baden-Eberstein",12,1
Ferdinand von Hochstetter,6,1
Charlotte von Ahlefeld,6,0
George Lawrence Price,4,1
Dulce of Aragon,5,0
Xue Tao,4,0
Hugh X of Lusignan,7,1
"Emilio Alcalá-Galiano, 4th Count of Casa Valencia",15,1
Guilhèm Adèr,6,1
Mikael Agricola,5,1
Katharina Elisabeth Goethe,5,0
Elisabeth of Wied,4,0
Gertrude of Aldenberg,6,0
Iakovos I of Cyprus,7,1
Petter Dass,4,1
"George Clifford, 3rd Earl of Cumberland",10,1
Nína Tryggvadóttir,8,0
"Eleanor Clifford, Countess of Cumberland",7,0
Blanche II of Navarre,6,0
Raymond I Trencavel,6,1
Gertrude of Flanders,5,0
Antonia Minor,4,0
Countess Palatine Eleonora Catherine of Zweibrücken,11,0
Caroline Augusta of Bavaria,5,0
Bernhard Moritz Carl Ludwig Riedel,7,1
Mary Tyler Moore,4,0
Ruby Hirose,4,0
Jean de Roquetaillade,6,1
August Jacob Liebeskind,5,1
Emperor Xianwen of Northern Wei,7,1
Joseph Heintz the Elder,6,1
Heinrich Albers-Schönberg,7,1
Johann Friedrich von Eschscholtz,8,1
Alfonso Carrillo de Acuña,6,1
"John I, Count of Ponthieu",9,1
Christoph Wamser,4,1
Anne Halkett,5,0
Daniel Purcell,3,1
Henry II of Navarre,5,1
"John Campbell, 2nd Duke of Argyll",11,1
Karl von den Steinen,6,1
Mariele Ventre,5,0
Hilary of Arles,4,1
August Sicard von Sicardsburg,8,1
"Wolfgang William, Count Palatine of Neuburg",9,1
Bettina von Arnim,6,0
Richard de Luci,4,1
Queen Marie of Romania,5,0
Anastasia of Kiev,4,0
Johann von Bardewik,6,1
Antoni Grabowski,5,1
"Marie I de Coucy, Countess of Soissons",11,0
